file_name,predicted_class
test_new\test\aaclkul,staff
test_new\test\aagelci,faculty
test_new\test\aangjmn,course
test_new\test\aawnpc,student
test_new\test\abdjgiz,course
test_new\test\abeith,course
test_new\test\acbplmv,faculty
test_new\test\aceolgzx,course
test_new\test\aeohgccl,course
test_new\test\afdtazl,course
test_new\test\ahomx,course
test_new\test\aigkvvw,course
test_new\test\aiiuj,course
test_new\test\aimch,course
test_new\test\aiqltd,course
test_new\test\aishkqu,course
test_new\test\aixqtudn,course
test_new\test\aizdnscx,course
test_new\test\ajgfhfc,course
test_new\test\ajjwszik,course
test_new\test\akbfdvs,student
test_new\test\aktnyrw,course
test_new\test\alfaog,course
test_new\test\aljsfwq,course
test_new\test\alrywqkr,course
test_new\test\altuxox,course
test_new\test\altxhm,other
test_new\test\amowrsh,course
test_new\test\ampuskyi,course
test_new\test\amvukjdd,course
test_new\test\amwcmt,student
test_new\test\amzuns,course
test_new\test\anjxcrs,department
test_new\test\anpusdof,course
test_new\test\apakwv,course
test_new\test\apcgc,course
test_new\test\apkhal,course
test_new\test\aplafmip,faculty
test_new\test\apmwy,course
test_new\test\apnbs,department
test_new\test\appjcc,project
test_new\test\aqhzllis,course
test_new\test\aqsrcsy,project
test_new\test\arwvjftm,course
test_new\test\arzeerl,course
test_new\test\asani,course
test_new\test\asjtpgrs,student
test_new\test\aslkxlcr,course
test_new\test\asmucefp,other
test_new\test\aspksukx,department
test_new\test\aspnkeit,course
test_new\test\audtaxh,course
test_new\test\augeudkf,course
test_new\test\augwaud,course
test_new\test\aunqt,student
test_new\test\avemi,course
test_new\test\awioiejc,course
test_new\test\awlal,course
test_new\test\axgkxmj,course
test_new\test\axphpch,course
test_new\test\aykqf,course
test_new\test\ayteap,course
test_new\test\azndzp,department
test_new\test\bbgkx,course
test_new\test\bcsrsbug,course
test_new\test\bdcydd,course
test_new\test\bdptkaio,course
test_new\test\bdwiu,course
test_new\test\begqls,course
test_new\test\beoczxhp,course
test_new\test\beoyl,project
test_new\test\beveykcq,other
test_new\test\bfiznf,course
test_new\test\bghlh,course
test_new\test\bgnisk,course
test_new\test\bgudhc,project
test_new\test\bgxblaq,course
test_new\test\bhjnxfeq,course
test_new\test\bhkvqidu,course
test_new\test\bhlwohi,faculty
test_new\test\bhptsyjz,course
test_new\test\bhuwf,course
test_new\test\bhzijblm,course
test_new\test\biaio,course
test_new\test\bilwr,course
test_new\test\bjjitsgt,course
test_new\test\bjwiuevz,course
test_new\test\bjzfnftw,course
test_new\test\blobw,course
test_new\test\bmmzflr,course
test_new\test\bnbsv,course
test_new\test\boarhn,course
test_new\test\bodmvxdf,student
test_new\test\bofjb,project
test_new\test\bondtsrh,staff
test_new\test\bovyrx,course
test_new\test\bpblgwar,department
test_new\test\bphhvc,department
test_new\test\bpjzrlxy,student
test_new\test\bpxla,course
test_new\test\bqbvlmis,course
test_new\test\bqcuk,project
test_new\test\bqfbagmb,course
test_new\test\brhotofi,course
test_new\test\brmtqcj,course
test_new\test\brorn,course
test_new\test\browzov,course
test_new\test\brwup,student
test_new\test\brzpgboe,other
test_new\test\bsjgc,course
test_new\test\bsjsuzw,project
test_new\test\bslps,department
test_new\test\btpdso,faculty
test_new\test\btrlegkg,course
test_new\test\bttjq,course
test_new\test\bulvw,department
test_new\test\bumcmpt,course
test_new\test\bvabh,course
test_new\test\bvkkhgyo,department
test_new\test\bvnniatg,student
test_new\test\bvtwusw,course
test_new\test\bvvko,course
test_new\test\bwjjh,course
test_new\test\bwvavr,course
test_new\test\bxwnlyu,department
test_new\test\bxxlthi,course
test_new\test\bypmk,course
test_new\test\byyxifzz,other
test_new\test\bzavavce,course
test_new\test\bzbyv,department
test_new\test\bzthieu,department
test_new\test\caaelf,course
test_new\test\caecfi,other
test_new\test\caeck,course
test_new\test\caogdi,course
test_new\test\cbdxh,student
test_new\test\cbuuznl,course
test_new\test\ccbje,course
