file_name,predicted_class
aaclkul,staff
aagelci,other
aangjmn,course
aawnpc,course
abdjgiz,student
abeith,student
acbplmv,faculty
aceolgzx,project
aeohgccl,student
afdtazl,student
ahomx,course
aigkvvw,student
aiiuj,course
aimch,staff
aiqltd,course
aishkqu,project
aixqtudn,course
aizdnscx,other
ajgfhfc,other
ajjwszik,faculty
akbfdvs,student
aktnyrw,student
alfaog,course
aljsfwq,student
alrywqkr,staff
altuxox,student
altxhm,other
amowrsh,student
ampuskyi,project
amvukjdd,student
amwcmt,student
amzuns,project
anjxcrs,faculty
anpusdof,student
apakwv,department
apcgc,student
apkhal,other
aplafmip,staff
apmwy,student
apnbs,faculty
appjcc,course
aqhzllis,other
aqsrcsy,course
arwvjftm,project
arzeerl,student
asani,course
asjtpgrs,student
aslkxlcr,course
asmucefp,department
aspksukx,student
aspnkeit,student
audtaxh,student
augeudkf,course
augwaud,course
aunqt,course
avemi,student
awioiejc,other
awlal,student
axgkxmj,other
axphpch,other
aykqf,student
ayteap,faculty
azndzp,department
bbgkx,course
bcsrsbug,student
bdcydd,student
bdptkaio,staff
bdwiu,course
begqls,project
beoczxhp,student
beoyl,student
beveykcq,other
bfiznf,student
bghlh,other
bgnisk,student
bgudhc,course
bgxblaq,course
bhjnxfeq,other
bhkvqidu,course
bhlwohi,staff
bhptsyjz,student
bhuwf,other
bhzijblm,other
biaio,student
bilwr,course
bjjitsgt,student
bjwiuevz,other
bjzfnftw,project
blobw,course
bmmzflr,staff
bnbsv,student
boarhn,student
bodmvxdf,student
bofjb,project
bondtsrh,staff
bovyrx,student
bpblgwar,course
bphhvc,project
bpjzrlxy,project
bpxla,project
bqbvlmis,student
bqcuk,other
bqfbagmb,student
brhotofi,faculty
brmtqcj,other
brorn,project
browzov,course
brwup,student
brzpgboe,course
bsjgc,other
bsjsuzw,project
bslps,student
btpdso,student
btrlegkg,other
bttjq,student
bulvw,student
bumcmpt,student
bvabh,student
bvkkhgyo,student
bvnniatg,course
bvtwusw,department
bvvko,course
bwjjh,faculty
bwvavr,student
bxwnlyu,other
bxxlthi,student
bypmk,student
byyxifzz,student
bzavavce,course
bzbyv,project
bzthieu,department
caaelf,student
caecfi,student
