docid,predicted_class
./data/splits/test_new\test\aaclkul.json,staff
./data/splits/test_new\test\aagelci.json,other
./data/splits/test_new\test\aangjmn.json,course
./data/splits/test_new\test\aawnpc.json,course
./data/splits/test_new\test\abdjgiz.json,student
./data/splits/test_new\test\abeith.json,student
./data/splits/test_new\test\acbplmv.json,faculty
./data/splits/test_new\test\aceolgzx.json,project
./data/splits/test_new\test\aeohgccl.json,student
./data/splits/test_new\test\afdtazl.json,student
./data/splits/test_new\test\ahomx.json,course
./data/splits/test_new\test\aigkvvw.json,student
./data/splits/test_new\test\aiiuj.json,course
./data/splits/test_new\test\aimch.json,staff
./data/splits/test_new\test\aiqltd.json,course
./data/splits/test_new\test\aishkqu.json,project
./data/splits/test_new\test\aixqtudn.json,course
./data/splits/test_new\test\aizdnscx.json,other
./data/splits/test_new\test\ajgfhfc.json,other
./data/splits/test_new\test\ajjwszik.json,faculty
./data/splits/test_new\test\akbfdvs.json,student
./data/splits/test_new\test\aktnyrw.json,student
./data/splits/test_new\test\alfaog.json,course
./data/splits/test_new\test\aljsfwq.json,student
./data/splits/test_new\test\alrywqkr.json,staff
./data/splits/test_new\test\altuxox.json,student
./data/splits/test_new\test\altxhm.json,other
./data/splits/test_new\test\amowrsh.json,student
./data/splits/test_new\test\ampuskyi.json,project
./data/splits/test_new\test\amvukjdd.json,student
./data/splits/test_new\test\amwcmt.json,student
./data/splits/test_new\test\amzuns.json,project
./data/splits/test_new\test\anjxcrs.json,faculty
./data/splits/test_new\test\anpusdof.json,student
./data/splits/test_new\test\apakwv.json,department
./data/splits/test_new\test\apcgc.json,student
./data/splits/test_new\test\apkhal.json,other
./data/splits/test_new\test\aplafmip.json,staff
./data/splits/test_new\test\apmwy.json,student
./data/splits/test_new\test\apnbs.json,faculty
./data/splits/test_new\test\appjcc.json,course
./data/splits/test_new\test\aqhzllis.json,other
./data/splits/test_new\test\aqsrcsy.json,course
./data/splits/test_new\test\arwvjftm.json,project
./data/splits/test_new\test\arzeerl.json,student
./data/splits/test_new\test\asani.json,course
./data/splits/test_new\test\asjtpgrs.json,student
./data/splits/test_new\test\aslkxlcr.json,course
./data/splits/test_new\test\asmucefp.json,department
./data/splits/test_new\test\aspksukx.json,student
./data/splits/test_new\test\aspnkeit.json,student
./data/splits/test_new\test\audtaxh.json,student
./data/splits/test_new\test\augeudkf.json,course
./data/splits/test_new\test\augwaud.json,course
./data/splits/test_new\test\aunqt.json,course
./data/splits/test_new\test\avemi.json,student
./data/splits/test_new\test\awioiejc.json,other
./data/splits/test_new\test\awlal.json,student
./data/splits/test_new\test\axgkxmj.json,other
./data/splits/test_new\test\axphpch.json,other
./data/splits/test_new\test\aykqf.json,student
./data/splits/test_new\test\ayteap.json,faculty
./data/splits/test_new\test\azndzp.json,department
./data/splits/test_new\test\bbgkx.json,course
./data/splits/test_new\test\bcsrsbug.json,student
