docid,predicted_class
./data/splits/test_new\test\aaclkul.json,staff
./data/splits/test_new\test\aagelci.json,faculty
./data/splits/test_new\test\aangjmn.json,course
./data/splits/test_new\test\aawnpc.json,student
./data/splits/test_new\test\abdjgiz.json,course
./data/splits/test_new\test\abeith.json,course
./data/splits/test_new\test\acbplmv.json,faculty
./data/splits/test_new\test\aceolgzx.json,course
./data/splits/test_new\test\aeohgccl.json,course
./data/splits/test_new\test\afdtazl.json,course
./data/splits/test_new\test\ahomx.json,course
./data/splits/test_new\test\aigkvvw.json,course
./data/splits/test_new\test\aiiuj.json,course
./data/splits/test_new\test\aimch.json,course
./data/splits/test_new\test\aiqltd.json,course
./data/splits/test_new\test\aishkqu.json,course
./data/splits/test_new\test\aixqtudn.json,course
./data/splits/test_new\test\aizdnscx.json,course
./data/splits/test_new\test\ajgfhfc.json,course
./data/splits/test_new\test\ajjwszik.json,course
./data/splits/test_new\test\akbfdvs.json,student
./data/splits/test_new\test\aktnyrw.json,course
./data/splits/test_new\test\alfaog.json,course
./data/splits/test_new\test\aljsfwq.json,course
./data/splits/test_new\test\alrywqkr.json,course
./data/splits/test_new\test\altuxox.json,course
./data/splits/test_new\test\altxhm.json,other
./data/splits/test_new\test\amowrsh.json,course
./data/splits/test_new\test\ampuskyi.json,course
./data/splits/test_new\test\amvukjdd.json,course
./data/splits/test_new\test\amwcmt.json,student
./data/splits/test_new\test\amzuns.json,course
./data/splits/test_new\test\anjxcrs.json,department
./data/splits/test_new\test\anpusdof.json,course
./data/splits/test_new\test\apakwv.json,course
./data/splits/test_new\test\apcgc.json,course
./data/splits/test_new\test\apkhal.json,course
./data/splits/test_new\test\aplafmip.json,faculty
./data/splits/test_new\test\apmwy.json,course
./data/splits/test_new\test\apnbs.json,department
./data/splits/test_new\test\appjcc.json,project
./data/splits/test_new\test\aqhzllis.json,course
./data/splits/test_new\test\aqsrcsy.json,project
./data/splits/test_new\test\arwvjftm.json,course
./data/splits/test_new\test\arzeerl.json,course
./data/splits/test_new\test\asani.json,course
./data/splits/test_new\test\asjtpgrs.json,student
./data/splits/test_new\test\aslkxlcr.json,course
./data/splits/test_new\test\asmucefp.json,other
./data/splits/test_new\test\aspksukx.json,department
